language_no	language_ru	language	language_external	expert_ru	consultant_ru	expert	consultant	data_collection_year	initial_release_date	last_release_date	macroarea	family (WALS)	genus (WALS)	latitude	longitude	number_nominal_cases	source_of_information	contact_language	glottocode	comment_on_glottocode	WO_WALS	WO_comment
119	аварский	Avar	Avar	Жиль Отье	Баху Шамиловна Мухидинова	Gilles Authier	Baxu Muxidinova	2023	January 19, 2024	June 6, 2024	West Asia and the Caucasus	Nakh-Daghestanian	Avar-Andic-Tsezic	42.54	46.71	24	yandex maps (Khunzakh); Authier (p.c.)	Russian	avar1256		SOV	
120	чирагский	Chirag	Chirag	Дмитирий Ганенков		Dmitry Ganenkov		2023	January 20, 2024	February 7, 2024	West Asia and the Caucasus	Nakh-Daghestanian	Dargwic	41.84	47.43	34	yandex maps (Chirag), Ganenkov 2021: 746	Russian	chir1284		SOV	Extrapolation
121	мегебский	Mehweb	Mehweb	Михаил Александрович Даниэль, Майсарат Мусаева		Michael Daniel, Majsarat Musaeva		2018, 2024	January 21, 2024	June 6, 2024	West Asia and the Caucasus	Nakh-Daghestanian	Dargwic	42.25	47.05	38	Daniel, p.c.	Russian	mege1234	This code belongs to "Megeb"	SOV	Extrapolation
122	даргинский (кадарский)	Dargwa_Kadar	Kadar Dargwa	Нина Романовна Сумбатова,  Наида Арсланхановна Вагизиева		Nina Sumbatova, Naida Vagizieva		2024	January 27, 2024	June 5, 2024	West Asia and the Caucasus	Nakh-Daghestanian	Dargwic	42.63	47.31	9	yandex maps (Чанкурбе), Sumbatova, p.c.	Russian	kada1294	This code belongs to Kadarskij (North Dargwa)	SOV	Extrapolation
123	каратинский	Karata	Karata	Жиль Отье, Рашидат Шахрудиновна Халидова		Gilles Authier, Rashidat Khalidova		2023	February 3, 2024	June 6, 2024	West Asia and the Caucasus	Nakh-Daghestanian	Avar-Andic-Tsezic	42.6	46.34	34	yandex map (Karata), 1971 grammar via Authier p.c.	Russian	kara1516		SOV	Extrapolation
124	даргинский (цудахарский)	Dargwa_Tsudakhar	Tsudakhar Dargwa	Гасик Сулайбанов		Gasangusen Sulaibanov		2024	February 5, 2024	June 6, 2024	West Asia and the Caucasus	Nakh-Daghestanian	Dargwic	42.33	47.26	24	село Алиханмахи, Sulaibanov (p.c.); Sulaibanov (p.c.)	Russian	cuda1238	This code belongs to Cudaxar (North Dargwa)	SOV	
125	кпелле (гвинейский)	Kpelle_Guinean	Guinean Kpelle	Мария Борисовна Коношенко		Maria Konoshenko		2023	March 6, 2024	June 13, 2024	Sub-Saharan Africa	Mande	Western Mande	7.81	-8.8	1	Konoshenko (p.c.)	French	guin1254		SOV	
126	табасаранский (кандыкский)	Tabasaran_Kandyk	Kandyk Tabasaran	Наталья Константиновка Богомолова	Дагмара Сеферова-Юзбекова	Natalia Bogomolova	Dagmara Seferova-Juzbekova	2023	March 7, 2024	March 7, 2024	West Asia and the Caucasus	Nakh-Daghestanian	Lezgic	41.8	47.88	42	wikipedia (Kandyk/Кондик, Bogomolova), Bogomolova (p.c.)	Russian	sout2752	This code belongs to South Tabasaran	SOV	Extrapolation
127	будухский	Budugh	Budugh	Жиль Отье	Адигёзель Хаджиев	Gilles Authier	Adigözel Haciyev	2024	March 17, 2024	March 17, 2024	West Asia and the Caucasus	Nakh-Daghestanian	Lezgic	41.18	48.37	16	Authier, p.c.; Authier, p.c. (https://www.academia.edu/66065917/Budugh_Mai_2021_vuMS_SENT_TM_YK_correctedGA_Pour_Academia)	Russian, Azerbaijani	budu1248	This language is referred to as Budukh in Glottolog	SOV	Extrapolation
128	бафут	Bafut	Bafut	Надеж Нквенти Лум		Nadege Nkwenti Lum		2024	May 30, 2024	June 5, 2024	Sub-Saharan Africa	Niger-Congo	Wide Grassfields	6.14	10.12	1	glottolog; extrapolation from data and WALS	English	bafu1246		SVO	
129	лезгинский (яргунский)	Lezgian_Yargun	Yargun Lezgian	Айтен Бабалиева		Ayten Babaliyeva		2024	June 17, 2024	June 17, 2024	West Asia and the Caucasus	Nakh-Daghestanian	Lezgic	41.51	48.25	18	these are coordinates of Həzrə, the village where the data were gathered; number of cases is temporarily given as equal to that in the Standard Lezgian	Azerbaijani, Russian	lezg1247	This is the code of Lezgian at large, without differentiation between its varieties. The dialects given by glottolog can't be mapped onto the actual dialects of Lezgian	SOV	
130	волоф	Wolof	Wolof	Дени Крессель	Ален Кристиан Бассэн, Сохна Бао-Диоп, Эль Хаджи Диейе, Жан-Леопольд Диуф, Кадер Гейе, Жозеф Жан-Франсуа Нунез	Denis Creissels	Alain Christian Bassène, Sokhna Bao-Diop, El Hadji Dieye, Jean-Léopold Diouf, Kader Gueye, Joseph Jean-François Nunez	2024	June 17, 2024	June 17, 2024	Sub-Saharan Africa	Niger-Congo	Wolof	15.25	-15.38	1	glottolog; own data	French, Russian	nucl1347		SVO	
