language,genus,fam,phonemes,con,son,obs,vow,monoph,qua,ton,population
xpe,Western Mande,ncon,49,32,11,21,14,14,7,3,487000
xrb,,ncon,26,16,7,9,7,7,7,3,35000
xsm,Gur,ncon,40,19,7,12,20,20,10,1,120000
xsu,Yanomam,yano,24,11,4,7,13,13,7,0,4610
xtc,Kadugli,nsah,32,23,8,15,7,7,7,2,75000
xub,Southern Dravidian,drav,37,22,9,13,15,12,6,0,32000
xwa,,_xwa,45,29,8,21,16,16,9,0,25
xxk,Central Malayo-Polynesian,anes,30,24,11,13,6,6,6,0,40000
yad,Peba-Yaguan,pbya,23,11,5,6,12,12,6,0,5690
yal,,ncon,33,19,8,11,14,14,7,0,55500
yam,Bantoid,ncon,38,26,7,19,8,8,8,4,40800
yap,Yapese,anes,44,28,11,17,16,16,8,0,6590
yaq,Cahita,utaz,22,17,6,11,5,5,5,0,14000
yas,Bantoid,ncon,26,15,5,10,7,7,7,4,35000
yat,,ncon,28,18,7,11,8,8,8,2,3700
ybb,Bantoid,ncon,35,21,6,15,8,8,8,6,300000
ycn,Arawakan,arwk,21,16,7,9,5,5,5,0,1800
ydd,Germanic,ieur,47,38,12,26,9,6,6,0,215000
yer,Platoid,ncon,32,26,12,14,6,6,6,0,300000
yey,Bantoid,ncon,90,77,18,59,13,13,5,0,20000
ygr,Eastern Highlands,trng,23,14,4,10,9,5,5,0,21100
yii,Pama-Nyungan,aust,16,13,9,4,3,3,3,0,12
ykg,Yukaghir,yuka,26,20,12,8,6,6,6,0,90
yll,Wapei-Palei,torr,23,12,7,5,11,7,7,0,2470
yor,Defoid,ncon,29,18,6,12,11,11,7,0,18900000
yrb,Yareban,trng,18,13,5,8,5,5,5,0,750
yre,,ncon,45,23,7,16,18,18,9,4,24600
yrk,Samoyedic,urlc,34,26,11,15,8,8,5,0,31300
yss,Tama Sepik,sepr,20,16,10,6,4,4,4,0,1990
yua,Mayan,maya,30,20,7,13,10,10,10,0,700000
yuc,Yuchi,_yuc,49,38,8,30,11,11,6,0,50
yue,Chinese,sitb,32,22,9,13,5,5,5,5,52000000
yul,Bongo-Bagirmi,nsah,42,35,15,20,7,7,7,0,4000
yum,Yuman,hoka,38,28,11,17,10,10,5,0,150
yur,Yurok,algi,35,23,7,16,12,12,6,0,12
yux,Yukaghir,yuka,33,21,9,12,12,12,6,0,30
yuz,Yuracare,_yuz,25,18,7,11,7,7,7,0,2680
yva,Yawa,geba,19,14,6,8,5,5,5,0,6000
ywn,,pano,18,14,5,9,4,4,4,0,450
zab,Zapotecan,otma,47,29,12,17,18,18,18,0,28000
zmr,Western Daly,aust,24,19,11,8,5,5,5,0,15
zne,Ubangi,ncon,35,19,6,13,16,16,8,0,730000
zoc,Mixe-Zoque,mizo,22,16,6,10,6,6,5,0,10000
zoh,Mixe-Zoque,mizo,26,20,7,13,6,6,6,0,4500
zpq,Zapotecan,otma,66,29,10,19,32,15,15,5,1000
zsm,Malayic,anes,27,21,6,15,6,6,6,0,1
ztp,,otma,30,23,9,14,7,7,7,0,75000
zts,,otma,30,22,6,16,6,6,6,2,7000
zul,Bantoid,ncon,43,35,8,27,5,5,5,3,9980000
zun,Zuni,_zun,54,44,10,34,10,10,5,0,9650
